duplication_type	metric	n_young	n_old	median_young	median_old	direction	U	p_raw	p_BH_all_30_tests
TD	peak_log2_TPM_plus_1	649	1812	3.2914313142416254	2.969606980649246	Young > Old	619382.5	0.04322645225582256	0.09975335135959053
TD	expression_breadth_TPM_ge_1	649	1812	3.0	2.0	Young > Old	616739.5	0.05817075339589417	0.11634150679178834
TD	mean_log2_TPM_plus_1	649	1812	2.0605670523786648	1.7051106642305154	Young > Old	618528.5	0.04923924435907947	0.10551266648374172
TD	tau	596	1639	0.824182919923409	0.845570635503117	Young < Old	472790.0	0.24651414168934982	0.410856902815583
TD	leaf_log2_TPM_plus_1	649	1812	1.7877036757208826	1.0493196473317292	Young > Old	639123.5	0.000876616271568913	0.002390771649733399
TD	ovary_log2_TPM_plus_1	649	1812	0.7163474076701009	0.5977807473131145	Young > Old	600696.0	0.4111219576672823	0.5873170823818319
TD	petal_log2_TPM_plus_1	649	1812	0.5781755127097655	0.3523630548086639	Young > Old	611708.0	0.1229325235082186	0.23049848157790986
TD	ripe_fruit_log2_TPM_plus_1	649	1812	0.4078041176156736	0.23111908824476987	Young > Old	620817.0	0.02947805531700767	0.07369513829251918
TD	root_log2_TPM_plus_1	649	1812	1.33928164721068	1.2159142463020334	Young > Old	589528.0	0.9210656960836775	0.961005489137985
TD	sepal_log2_TPM_plus_1	649	1812	1.0377167619407344	0.7573348409766474	Young > Old	609685.5	0.16071626624898405	0.2836169404393836
PD	peak_log2_TPM_plus_1	591	1449	2.536427952196199	2.529687537910083	Young > Old	430566.5	0.843157477032866	0.961005489137985
PD	expression_breadth_TPM_ge_1	591	1449	2.0	2.0	equal medians	431590.0	0.7716691841704476	0.961005489137985
PD	mean_log2_TPM_plus_1	591	1449	1.4810270326730592	1.3932661750864446	Young > Old	428031.0	0.9902100747396485	0.9902100747396485
PD	tau	532	1295	0.796987404778388	0.7915863566431011	Young > Old	345383.5	0.9289719728333855	0.961005489137985
PD	leaf_log2_TPM_plus_1	591	1449	1.16587014437926	0.9860533574329623	Young > Old	435497.5	0.5393779167951053	0.7355153410842344
PD	ovary_log2_TPM_plus_1	591	1449	0.6345402989597856	0.5810908877297652	Young > Old	426493.0	0.8881840761084312	0.961005489137985
PD	petal_log2_TPM_plus_1	591	1449	0.39538750649649246	0.3634312715354468	Young > Old	424218.5	0.7398575536703058	0.961005489137985
PD	ripe_fruit_log2_TPM_plus_1	591	1449	0.30262671508617417	0.343014332200451	Young < Old	417155.5	0.3478925062840632	0.5218387594260948
PD	root_log2_TPM_plus_1	591	1449	0.7136113619301244	0.8605949779226094	Young < Old	415962.5	0.3090285034136777	0.4879397422321227
PD	sepal_log2_TPM_plus_1	591	1449	0.7544710909718146	0.6710061637832705	Young > Old	425926.5	0.8512426658493	0.961005489137985
TRD	peak_log2_TPM_plus_1	224	2382	0.4225513520846934	2.786602710263539	Young < Old	156302.0	8.862005790548376e-25	4.431002895274188e-24
TRD	expression_breadth_TPM_ge_1	224	2382	0.0	4.0	Young < Old	159852.0	6.212722426617768e-26	6.212722426617769e-25
TRD	mean_log2_TPM_plus_1	224	2382	0.11925828502516977	1.8963629891370235	Young < Old	153041.0	3.639323678422349e-26	5.458985517633524e-25
TRD	tau	157	2066	0.8054879734586674	0.6113133419456045	Young > Old	208572.5	2.17680044617464e-09	6.53040133852392e-09
TRD	leaf_log2_TPM_plus_1	224	2382	0.0	1.5195499523256708	Young < Old	164366.5	5.623689274317144e-22	2.108883477868929e-21
TRD	ovary_log2_TPM_plus_1	224	2382	0.036142430146996515	1.6284242070948731	Young < Old	157180.0	1.2506558092401794e-24	5.359953468172197e-24
TRD	petal_log2_TPM_plus_1	224	2382	0.0	1.4649303694172149	Young < Old	154742.0	9.084188304601111e-26	6.813141228450833e-25
TRD	ripe_fruit_log2_TPM_plus_1	224	2382	0.0	1.2983477710032079	Young < Old	168847.0	1.6450391788098226e-20	5.483463929366076e-20
TRD	root_log2_TPM_plus_1	224	2382	0.05066118942223038	1.5081876836655153	Young < Old	151096.0	2.888219200490402e-27	8.664657601471206e-26
TRD	sepal_log2_TPM_plus_1	224	2382	0.05788524222209897	1.5031779922105732	Young < Old	156225.0	5.201419086558944e-25	3.120851451935366e-24
