metric	duplication_type	n_young	n_old	median_young	median_old	U	p_raw
15DAF	TD	1011	1450	1.3894462150377331	0.7364959250369851	807118.0	1.674896070123878e-05
15DAF	PD	906	1134	0.9081601544777499	0.8036963314975516	536156.0	0.08745438658708166
15DAF	TRD	377	2229	0.6528948660894707	1.6329870569766893	376609.0	0.0011542649562067931
six_mean_log	TD	1011	1450	2.2781297531735474	1.4973119656992018	806625.5	2.1527826423597323e-05
six_mean_log	PD	906	1134	1.5732284779728576	1.2628762607267348	546849.5	0.012109453276129502
six_mean_log	TRD	377	2229	0.8299547990199618	1.768281665906978	369110.0	0.00015389331288644654
ripe_log	TD	1011	1450	0.489346658222439	0.1615482121568348	803447.5	2.8327863261418006e-05
ripe_log	PD	906	1134	0.38894998175713424	0.2709824434374548	532149.5	0.1515399758832116
ripe_log	TRD	377	2229	0.42699786010015317	1.1373526886564156	379593.0	0.0021804150689368976
