duplication_type	metric	young_gene	partner_gene	young_log2_expression	partner_log2_expression
TD	15DAF	Pbre1_17G131400	Pbre1_17G131200	0.0	0.0
TD	15DAF	Pbre1_08G124000	Pbre1_08G123800	0.22878052589827338	0.02838102381319489
TD	15DAF	Pbre1_17G051600	Pbre1_17G051400	0.0	3.625394293952871
TD	15DAF	Pbre1_10G381600	Pbre1_10G381400	2.7046960422956188	1.415520721182391
TD	15DAF	Pbre1_14G275400	Pbre1_14G275200	3.5150174004020815	1.3419430633119607
TD	15DAF	Pbre1_02G457000	Pbre1_02G456800	2.749305563607392	2.1561050060981595
TD	15DAF	Pbre1_10G318200	Pbre1_10G318000	3.275810142761178	3.481442842167572
TD	15DAF	Pbre1_04G023200	Pbre1_04G023000	0.09111078970873462	0.022664666929625533
TD	15DAF	Pbre1_08G085200	Pbre1_08G085000	2.7251155258771296	0.6705621009016653
TD	15DAF	Pbre1_14G212600	Pbre1_14G212400	0.7336450198027406	1.959057161609442
TD	15DAF	Pbre1_13G070800	Pbre1_13G070600	2.522183335629329	4.6005985691383255
TD	15DAF	Pbre1_04G299800	Pbre1_04G299600	9.950450584484887	1.926461766189153
TD	15DAF	Pbre1_03G283400	Pbre1_03G283200	3.3431429959377668	0.042186244029268634
TD	15DAF	Pbre1_16G046000	Pbre1_16G045800	0.22821655707136218	0.15234699095184356
TD	15DAF	Pbre1_09G209000	Pbre1_09G208800	4.450382717628937	3.815517023122583
TD	15DAF	Pbre1_02G020200	Pbre1_02G020000	0.11493466207776425	0.12408987211081592
TD	15DAF	Pbre1_11G120000	Pbre1_11G119800	4.029421522510392	3.7237030421660253
TD	15DAF	Pbre1_05G551000	Pbre1_05G550800	1.0894588287278628	2.1885155000457113
TD	15DAF	Pbre1_07G095800	Pbre1_07G095600	0.0	0.0
TD	15DAF	Pbre1_11G402200	Pbre1_11G402000	3.407972799977119	3.6371862777993855
TD	15DAF	Pbre1_17G159600	Pbre1_17G159400	0.4296823735076198	0.686513077174813
TD	15DAF	Pbre1_01G121400	Pbre1_01G121200	3.51757793450891	4.520241884656743
TD	15DAF	Pbre1_14G147600	Pbre1_14G147400	2.1556996958442722	2.097722365223191
TD	15DAF	Pbre1_08G402800	Pbre1_08G402600	6.168000224838734	6.602794727294885
TD	15DAF	Pbre1_06G256800	Pbre1_06G256600	3.5354059054519884	5.178702651859824
TD	15DAF	Pbre1_01G083000	Pbre1_01G082800	0.6047858502272466	0.0275603274398158
TD	15DAF	Pbre1_01G053200	Pbre1_01G053000	4.759998243176769	4.645464129188205
TD	15DAF	Pbre1_11G096200	Pbre1_11G096000	2.158990681053019	2.0851319403128383
TD	15DAF	Pbre1_16G287800	Pbre1_16G287600	0.657499158373162	4.739475610364994
TD	15DAF	Pbre1_11G441600	Pbre1_11G441400	0.04978687700249204	0.04580220183309671
TD	15DAF	Pbre1_04G114200	Pbre1_04G114000	0.0	0.07614859718008292
TD	15DAF	Pbre1_07G013000	Pbre1_07G012800	1.4539958083321032	0.7494055456407539
TD	15DAF	Pbre1_13G125800	Pbre1_13G125600	0.27490569759416994	0.028825137134466133
TD	15DAF	Pbre1_09G337000	Pbre1_09G336800	2.9151571695537246	2.0855939352302277
TD	15DAF	Pbre1_14G293000	Pbre1_14G292800	0.0	0.0
TD	15DAF	Pbre1_08G301800	Pbre1_08G301600	2.9276295020130028	1.6455859248044513
TD	15DAF	Pbre1_05G185600	Pbre1_05G185400	1.28394132409971	0.0
TD	15DAF	Pbre1_05G288400	Pbre1_05G288200	1.4942317734785586	5.611083123809134
TD	15DAF	Pbre1_15G698000	Pbre1_15G697800	0.6426378100028911	4.381130510727744
TD	15DAF	Pbre1_15G705200	Pbre1_15G705000	2.4866701005321317	1.7272443527067525
TD	15DAF	Pbre1_01G083400	Pbre1_01G083200	3.605174634570905	4.018578541008127
TD	15DAF	Pbre1_10G286000	Pbre1_10G285800	0.3143461764645536	0.09179460043459611
TD	15DAF	Pbre1_17G385000	Pbre1_17G384800	5.013981670505291	4.827106187668898
TD	15DAF	Pbre1_17G238800	Pbre1_17G238600	8.140376961826497	5.202557360800946
TD	15DAF	Pbre1_13G036000	Pbre1_13G035800	5.6616860473296144	3.4199376674173885
TD	15DAF	Pbre1_15G179200	Pbre1_15G179000	8.12252645426639	7.643039227202443
TD	15DAF	Pbre1_08G096200	Pbre1_08G096000	0.0	0.056045191712837845
TD	15DAF	Pbre1_15G041600	Pbre1_15G041400	0.0	0.0
