comparison	valid_Ks_n	mean_Ks_primary_threshold	median_Ks_sensitivity
Pbr_hapA-Ppe	4838	0.4748556238114924	0.3824094999999999
Pbr_hapA-Mdo	5085	0.1122884290667846	0.0528444
