duplication_type	gene	age	TPM	log2_TPM_plus_1
TRD	Pbre1_10G501600	young	0.0	0.0
TRD	Pbre1_13G445800	young	0.0	0.0
PD	Pbre1_01G200200	young	0.249076	0.3208612603625009
TRD	Pbre1_15G599800	young	0.0	0.0
TD	Pbre1_05G553000	young	0.009916	0.014235301469002894
TRD	Pbre1_04G113200	young	0.0	0.0
TD	Pbre1_05G029000	young	1.244241	1.1662276094742003
PD	Pbre1_01G327400	young	4.423759	2.4392930750027637
PD	Pbre1_09G228600	young	1.274847	1.1857695168436344
TRD	Pbre1_14G110200	young	0.0	0.0
TRD	Pbre1_10G061400	young	0.060064	0.0841513682746379
PD	Pbre1_03G198200	young	0.16435	0.2195247930954372
PD	Pbre1_13G464200	young	3.083828	2.0299221050079446
TD	Pbre1_02G457000	young	5.723934	2.749305563607392
PD	Pbre1_17G116600	young	0.0	0.0
PD	Pbre1_04G061600	young	0.850044	0.8875595830804689
TRD	Pbre1_06G149800	young	0.0	0.0
PD	Pbre1_09G198200	young	13.650527	3.87288065623194
TD	Pbre1_04G017400	young	0.742158	0.8008754709400515
TD	Pbre1_12G411400	young	0.05212	0.07329926121928274
TRD	Pbre1_07G475600	young	7.844402	3.1447646007111096
TRD	Pbre1_14G217600	young	0.0	0.0
TD	Pbre1_15G702200	young	0.193217	0.2548564372954699
TD	Pbre1_03G068000	young	46.190678	5.560429994063137
TD	Pbre1_11G149200	young	0.392456	0.47763174078992954
TD	Pbre1_17G357600	young	0.021693	0.03096175800385215
TD	Pbre1_06G007000	young	3.277617	2.096807315383618
PD	Pbre1_09G183400	young	0.0	0.0
PD	Pbre1_01G107200	young	0.304275	0.38324808682960504
TD	Pbre1_07G083800	young	0.0	0.0
TRD	Pbre1_16G436000	young	0.0	0.0
TRD	Pbre1_06G347600	young	0.0	0.0
TD	Pbre1_03G036400	young	7.110274	3.019750655720438
PD	Pbre1_13G042600	young	0.031533	0.04478997553831646
PD	Pbre1_08G090400	young	0.0	0.0
TD	Pbre1_11G112800	young	3.786405	2.258942475182106
PD	Pbre1_17G222800	young	1.114755	1.0804905329627734
TD	Pbre1_03G205200	young	0.0	0.0
PD	Pbre1_13G350600	young	49.923701	5.670265369199578
TD	Pbre1_14G100000	young	0.0	0.0
PD	Pbre1_01G141000	young	10.803597	3.5611546649221917
PD	Pbre1_17G325800	young	4.5106	2.462209409522054
PD	Pbre1_17G390400	young	4.621866	2.491049066767097
TRD	Pbre1_15G627000	young	0.0	0.0
TRD	Pbre1_15G422000	young	0.0	0.0
TRD	Pbre1_11G020600	young	0.0	0.0
PD	Pbre1_09G330400	young	0.299436	0.3778855797459615
TRD	Pbre1_14G165600	young	0.0	0.0
PD	Pbre1_12G109000	young	0.0	0.0
PD	Pbre1_08G321000	young	0.349569	0.4324987399859526
TD	Pbre1_05G575600	young	0.174286	0.23178382287000254
TRD	Pbre1_12G306200	young	0.0	0.0
TRD	Pbre1_11G247000	young	0.060496	0.08473917929275222
TD	Pbre1_11G080200	young	0.0	0.0
PD	Pbre1_14G147600	young	3.455847	2.1556996958442722
PD	Pbre1_07G209600	young	0.127838	0.1735598572924941
TRD	Pbre1_10G282800	young	0.0	0.0
PD	Pbre1_10G239000	young	0.519574	0.603666932730234
TRD	Pbre1_17G319400	young	0.0	0.0
PD	Pbre1_03G197400	young	0.0	0.0
PD	Pbre1_10G028800	young	7.807273	3.138695385957008
TD	Pbre1_02G440800	young	1.69959	1.432740314727264
TRD	Pbre1_15G344000	young	0.427758	0.5137514683119928
PD	Pbre1_07G358600	young	4.471565	2.4519535377368347
PD	Pbre1_17G487600	young	0.84784	0.8858398426848083
TD	Pbre1_11G196000	young	0.43888	0.5249462789275534
PD	Pbre1_04G061800	young	0.573569	0.6540404412834775
PD	Pbre1_01G232800	young	2.329518	1.7353133396566593
TRD	Pbre1_01G084000	young	0.047114	0.06641851799126938
TRD	Pbre1_01G044400	young	1.670134	1.4169121450156426
PD	Pbre1_13G072200	young	1.61546	1.3870647060729093
TD	Pbre1_09G232600	young	0.240797	0.31126710334160995
TRD	Pbre1_04G145200	young	0.0	0.0
TD	Pbre1_01G314800	young	0.0	0.0
PD	Pbre1_04G336000	young	0.0	0.0
TRD	Pbre1_12G292000	young	115.299198	6.861697337786095
PD	Pbre1_05G029200	young	1.524242	1.3358502286499567
TRD	Pbre1_02G259400	young	0.0	0.0
TRD	Pbre1_16G228000	young	4.423706	2.439278977176743
PD	Pbre1_12G411600	young	0.055384	0.07776801703515215
PD	Pbre1_17G486800	young	0.122754	0.16704186197042187
TRD	Pbre1_13G460400	young	32.29086	5.057054234867171
TD	Pbre1_11G090800	young	54.058718	5.78289911316492
TRD	Pbre1_16G435400	young	0.0	0.0
PD	Pbre1_16G097400	young	7.176548	3.0314918903054435
TD	Pbre1_14G410400	young	0.32736	0.40855970437641403
PD	Pbre1_11G345200	young	0.0	0.0
TD	Pbre1_04G017200	young	89.301849	6.496683623189514
TD	Pbre1_10G409800	young	0.090749	0.12531915105046385
TD	Pbre1_03G067600	young	0.27618	0.35183182972404786
TD	Pbre1_02G041800	young	3.43218	2.148016473407434
TD	Pbre1_02G088000	young	20.957813	4.4566624638399
PD	Pbre1_04G306200	young	2.325008	1.7333578117556145
PD	Pbre1_01G125600	young	0.025716	0.0366313331781911
TD	Pbre1_08G094400	young	3.231757	2.0812567860152025
TD	Pbre1_15G050600	young	0.482467	0.5679999904601576
PD	Pbre1_16G046000	young	0.171386	0.22821655707136218
TD	Pbre1_03G024000	young	6.319	2.871646545559235
PD	Pbre1_11G389800	young	0.105203	0.14431138336804455
PD	Pbre1_11G034600	young	0.835771	0.8763861035394858
PD	Pbre1_10G406000	young	1.046415	1.033098744169122
TRD	Pbre1_17G488600	young	0.739651	0.7987979089068976
PD	Pbre1_07G101400	young	2.149383	1.6550692159049047
TD	Pbre1_05G387400	young	4.145666	2.3633578162279805
PD	Pbre1_01G326600	young	1.338774	1.2257524581708483
TRD	Pbre1_16G370400	young	0.117798	0.1606594987994573
PD	Pbre1_02G020600	young	0.598373	0.6766041181884765
TD	Pbre1_03G219800	young	30.486122	4.976644173227771
TRD	Pbre1_08G234200	young	0.053613	0.0753450515041668
TRD	Pbre1_17G309800	young	0.114536	0.1564432170307463
PD	Pbre1_11G030400	young	35.303316	5.182029427082523
TRD	Pbre1_17G427400	young	0.0	0.0
TD	Pbre1_02G120200	young	11.096594	3.596528984450977
PD	Pbre1_10G260000	young	0.0	0.0
TD	Pbre1_05G098400	young	3.639208	2.213878531214977
TRD	Pbre1_14G346200	young	0.133206	0.18041014550437207
TRD	Pbre1_09G358200	young	0.028505	0.04054880743374677
PD	Pbre1_04G294200	young	2.489507	1.803023225863109
TD	Pbre1_03G404000	young	12.442285	3.748706491781433
PD	Pbre1_13G464800	young	0.0	0.0
TRD	Pbre1_08G294400	young	0.274985	0.35048027410145804
PD	Pbre1_04G043200	young	0.647319	0.720119957101218
TD	Pbre1_10G483200	young	0.993902	0.9955945032223401
TRD	Pbre1_07G241000	young	0.27672	0.3524421594147517
TRD	Pbre1_03G362800	young	0.0	0.0
TD	Pbre1_03G036600	young	4.575972	2.479223316664986
PD	Pbre1_12G034200	young	0.034416	0.04881649555675651
TRD	Pbre1_17G326600	young	3.649054	2.216937183241209
TD	Pbre1_14G213400	young	1.123672	1.0865609598734318
TRD	Pbre1_12G191800	young	1.562908	1.3577816915339063
TRD	Pbre1_07G288400	young	0.033695	0.04781056969820971
PD	Pbre1_13G072000	young	0.281266	0.35757002059976306
TRD	Pbre1_09G233200	young	12.657788	3.771651940166798
TD	Pbre1_15G234200	young	0.665909	0.7363095958809078
TRD	Pbre1_14G346000	young	2.524904	1.817583966558268
TRD	Pbre1_09G392800	young	0.0	0.0
PD	Pbre1_02G479800	young	4.132549	2.35967549568401
TRD	Pbre1_05G313800	young	0.0	0.0
TRD	Pbre1_14G176800	young	0.0	0.0
TRD	Pbre1_08G084600	young	0.0	0.0
TD	Pbre1_06G169200	young	3.317219	2.1101022783912593
TRD	Pbre1_17G427600	young	0.0	0.0
TD	Pbre1_02G488200	young	0.574423	0.6548232015923623
TRD	Pbre1_16G426800	young	0.0	0.0
TD	Pbre1_12G253400	young	0.068939	0.09617952667068343
TD	Pbre1_12G385600	young	0.350869	0.4338877766518843
PD	Pbre1_03G114000	young	1.331522	1.221272042862948
TRD	Pbre1_03G340400	young	1.112172	1.0787273221221485
PD	Pbre1_09G157800	young	0.0	0.0
TRD	Pbre1_05G571600	young	0.0	0.0
TD	Pbre1_02G447200	young	0.0	0.0
TRD	Pbre1_15G064400	young	15.81162	4.071386847025733
TD	Pbre1_02G412000	young	0.028218	0.04014617326334801
TRD	Pbre1_07G203400	young	0.0	0.0
PD	Pbre1_05G462600	young	0.0	0.0
PD	Pbre1_12G108600	young	0.0	0.0
TRD	Pbre1_07G056800	young	0.0	0.0
PD	Pbre1_02G451800	young	0.0	0.0
TRD	Pbre1_15G455400	young	0.683023	0.7510548925081524
PD	Pbre1_14G411400	young	76.468395	6.275535944931734
PD	Pbre1_12G276200	young	4.985817	2.5815481730511523
TRD	Pbre1_15G783600	young	33.640864	5.114403008582787
TRD	Pbre1_15G566000	young	0.0	0.0
TD	Pbre1_12G109400	young	0.0	0.0
PD	Pbre1_01G100200	young	0.519518	0.6036137649272859
TRD	Pbre1_02G487600	young	0.0	0.0
PD	Pbre1_06G231000	young	0.154091	0.2067569848782552
TD	Pbre1_10G199800	young	0.0	0.0
TRD	Pbre1_04G076400	young	9.746172	3.4257509295731494
TRD	Pbre1_02G404000	young	21.631848	4.500282487339388
