duplication_type	metric	n_pairs	median_young_copy	median_partner_copy	median_paired_difference	wilcoxon_statistic	p_raw
TD	15DAF	363	1.5628539362335057	1.8589330586349242	0.0	25835.0	0.5060381035377344
TD	six_tissue_mean	363	2.44749584136601	2.3899146869236123	0.0003994134652342621	30821.0	0.898788702391077
PD	15DAF	320	0.9473467768217871	1.2766107147718886	-0.05099152937741665	15519.0	9.50396549362518e-05
PD	six_tissue_mean	320	1.737939394015827	1.8781911362273598	-0.008622558614393478	21995.0	0.1538975971606566
TRD	15DAF	177	0.1606594987994573	3.5572198913834416	-2.0575048457871263	1056.0	7.012977913072726e-21
TRD	six_tissue_mean	177	0.3319235817007426	3.691875815392925	-1.9292789788648745	1107.0	5.7551874750676055e-22
