duplication_type	age	compartment	count	percentage
PD	old	A	603	59.526159921026654
PD	old	B	410	40.473840078973346
PD	young	A	355	60.06768189509306
PD	young	B	236	39.93231810490694
TD	old	A	976	70.72463768115942
TD	old	B	404	29.275362318840582
TD	young	A	458	70.57010785824345
TD	young	B	191	29.429892141756547
TRD	old	A	1392	64.14746543778801
TRD	old	B	778	35.85253456221198
TRD	young	A	105	46.875
TRD	young	B	119	53.125
