duplication_type	Conservation	Neofunctionalization(Child)	Neofunctionalization(Parent)	Specialization
TD	28.104575163398692	15.686274509803921	10.457516339869281	45.751633986928105
PD	30.88235294117647	11.76470588235294	11.27450980392157	46.07843137254902
TRD	34.35897435897436	46.282051282051285	0.7692307692307693	18.58974358974359
