duplication_type	n_intrachromosomal_pairs	observed_same_TAD_fraction	matched_random_mean	matched_random_ci_low	matched_random_ci_high	observed_expected_ratio	empirical_one_sided_p	permutations	empirical_p_adj_BH
TD	306	0.9019607843137256	0.8249342339006966	0.7814569536423841	0.8651315789473685	1.09337295901615	0.0009990009990009	1000	0.0014985014985014
PD	204	0.8088235294117647	0.6486103061914421	0.5882352941176471	0.7058823529411765	1.2470099868765183	0.0009990009990009	1000	0.0014985014985014
TRD	84	0.0238095238095238	0.0106666666666666	0.0	0.0357142857142857	2.2321428571428568	0.2337662337662337	1000	0.2337662337662337
