loop_set	analysis_set	term	n	estimate	se	ci_low	ci_high	p_value	model_r2	note	p_adj_BH	label	order
primary	all	capture_delta	1290	-0.1113367097221869	0.2056163165937463	-0.5143372848797152	0.2916638654353413	0.588178164656453	0.53859043811211	cluster-robust SE by duplicate family	0.6849955668520761	All	-0.12
primary	TRD	capture_delta	780	-0.2583049441399861	0.2517783070926424	-0.751781358130031	0.2351714698500586	0.3049282772940087	0.453797103808302	cluster-robust SE by duplicate family	0.3951183311415324	TRD	0.88
primary	TRD_multi_outgroup_polarized	capture_delta	501	0.0076174207473044	0.2042267861846901	-0.3926597248530505	0.4078945663476594	0.9702467361525968	0.4324560658891387	cluster-robust SE by duplicate family	0.9702467361525968	TRD multi-outgroup	1.88
strict	all	capture_delta_strict	1290	-0.2159023229816639	0.2308361886704761	-0.66833293910429	0.236528293140962	0.3496309572965925	0.5393130497869291	cluster-robust SE by duplicate family	0.4467506676567571	All	0.12
strict	TRD	capture_delta_strict	780	-0.3088943007581636	0.273625526290169	-0.8451904775377127	0.2274018760213855	0.2589424197479693	0.4547452009623647	cluster-robust SE by duplicate family	0.3544583856463943	TRD	1.12
strict	TRD_multi_outgroup_polarized	capture_delta_strict	501	-0.0527081263196617	0.2149790112049119	-0.474059245713322	0.3686429930739984	0.8063186017419511	0.4305652747334316	cluster-robust SE by duplicate family	0.8625733879099942	TRD multi-outgroup	2.12
