duplication_type	Conservation	Neofunctionalization	Subfunctionalization	Specialization
TD	28.104575163398692	26.143790849673206	0.0	45.751633986928105
PD	30.88235294117647	23.03921568627451	0.0	46.07843137254902
TRD	34.35897435897436	47.05128205128205	0.0	18.58974358974359
