duplication_type	Conservation	Neofunctionalization	Subfunctionalization	Specialization
TD	41.81818181818181	25.454545454545453	0.0	32.72727272727273
PD	48.717948717948715	17.94871794871795	0.0	33.33333333333333
TRD	46.10778443113773	46.10778443113773	0.0	7.784431137724551
