metric	n	agreement	cohen_kappa	hapA_positive_fraction	hapB_positive_fraction
A_compartment	34732	0.8634688471726362	0.6847980075425415	0.6809570424968329	0.6846999884832431
any_loop	34732	0.8690544742600483	0.4291461400235319	0.8661752850397328	0.8695151445352989
GGL	34732	0.8483531037659795	0.4515916768502873	0.8311931360128988	0.8373833928365773
DGL	34732	0.8822987446734999	0.4881005318231378	0.1322411608890936	0.1328169987331567
TAD_boundary	4181	0.7684764410428128	0.5084720155570874	0.3879454675914853	0.3707247070078928
