gene	TPM	log2_TPM_plus_1	group
Pbre1_15G462600	2.044729	1.606313824928004	Cis-associated
Pbre1_15G462800	0.353396	0.4365840297405882	Cis-associated
Pbre1_15G463000	0.550967	0.6331679904082819	Cis-associated
Pbre1_15G463200	3.858628	2.280548976991072	Cis-associated
Pbre1_15G463400	0.177207	0.23536802608212884	Cis-associated
Pbre1_15G463600	9.466186	3.3876638980595626	Cis-associated
Pbre1_15G463800	1.414704	1.2718463510052844	Cis-associated
Pbre1_15G464000	1.664049	1.4136206182225677	Cis-associated
Pbre1_15G464200	7.31899	3.056408382880603	Cis-associated
Pbre1_15G464400	10.224275	3.488550356095734	Cis-associated
Pbre1_15G464600	1.328678	1.2195111634132856	Cis-associated
Pbre1_15G464800	11.161885	3.604294947796474	Cis-associated
Pbre1_15G465600	0.0	0.0	Cis-associated
Pbre1_15G465800	0.0	0.0	Cis-associated
Pbre1_15G466000	0.620658	0.6965796776781148	Cis-associated
Pbre1_15G466200	17.502762	4.209668740022371	Cis-associated
Pbre1_15G466400	44.640193	5.51223298729297	Cis-associated
Pbre1_15G466600	0.944296	0.9592478718368522	Cis-associated
Pbre1_15G466800	2.651497	1.8684880452824841	Cis-associated
Pbre1_15G467000	1.691941	1.428646790356776	Cis-associated
Pbre1_15G467200	45.499459	5.539142026106796	Cis-associated
Pbre1_15G467400	0.0	0.0	Cis-associated
Pbre1_15G467600	0.0	0.0	Cis-associated
Pbre1_15G467800	13.026025	3.810034299474213	Cis-associated
Pbre1_15G468000	0.195575	0.2577046350551156	Cis-associated
Pbre1_15G468200	17.786956	4.23165942457977	Cis-associated
Pbre1_15G468600	31.609025	5.0271994004725595	Cis-associated
Pbre1_15G468800	19.547684	4.360903886847299	Cis-associated
Pbre1_15G469000	7.453466	3.0795429811309325	Cis-associated
Pbre1_15G469400	0.0	0.0	Cis-associated
Pbre1_15G469600	35.707754	5.1980129393114725	Cis-associated
Pbre1_15G470200	0.482797	0.5683211014070808	Cis-associated
Pbre1_15G470400	2.742721	1.9040875069825716	Cis-associated
Pbre1_15G470600	64.212521	6.027077087722953	Cis-associated
Pbre1_15G470800	0.449517	0.5355722534902891	Cis-associated
Pbre1_15G471000	5.418737	2.682289449513867	Cis-associated
Pbre1_15G471200	0.0	0.0	Cis-associated
Pbre1_15G471400	0.0	0.0	Cis-associated
Pbre1_15G471600	14.957774	3.996187514421464	Cis-associated
Pbre1_15G471800	18.504578	4.285740879515237	Cis-associated
Pbre1_15G472000	0.087564	0.12110030189544745	Cis-associated
Pbre1_15G472200	0.0	0.0	Cis-associated
Pbre1_15G472400	1.940918	1.5562665589129747	Cis-associated
Pbre1_15G472600	39.709508	5.347293880593993	Cis-associated
Pbre1_15G472800	66.963616	6.086690707952257	Cis-associated
Pbre1_15G473600	2.669024	1.875396341644983	Cis-associated
Pbre1_15G473800	0.416079	0.5019017525176754	Cis-associated
Pbre1_15G474000	57.620819	5.8733412191581555	Cis-associated
Pbre1_15G474200	23.203662	4.597153437823219	Cis-associated
Pbre1_15G474600	7.75953	3.1308534628789584	Cis-associated
Pbre1_15G474800	1.83192	1.5017805107480766	Cis-associated
Pbre1_15G475000	6.022051	2.811892474313213	Cis-associated
Pbre1_15G475200	1.568293	1.3608097996307587	Cis-associated
Pbre1_15G475400	0.0	0.0	Cis-associated
Pbre1_15G475600	30.953863	4.997918448408708	Cis-associated
Pbre1_15G476200	0.149764	0.2013377646737971	Cis-associated
Pbre1_15G476400	7.117237	3.0209887366789063	Cis-associated
Pbre1_15G476600	13.118667	3.8195319792987905	Cis-associated
Pbre1_15G476800	1.899569	1.535838469973489	Cis-associated
Pbre1_15G477000	14.428225	3.947500185895195	Cis-associated
Pbre1_15G477400	1.683923	1.4243432821522368	Cis-associated
Pbre1_15G477600	2.202371	1.679140456153595	Cis-associated
Pbre1_15G477800	0.0	0.0	Cis-associated
Pbre1_15G478000	11.09983	3.596914872975674	Cis-associated
Pbre1_15G478400	0.076794	0.10674227624738167	Cis-associated
Pbre1_15G478600	6.47911	2.902866602334828	Cis-associated
Pbre1_15G478800	6.285224	2.8649733317573136	Cis-associated
Pbre1_15G479000	38.458199	5.302253203177293	Cis-associated
Pbre1_15G479200	2.853499	1.9461690165742034	Cis-associated
Pbre1_15G479400	10.066272	3.468097384491788	Cis-associated
Pbre1_15G479600	0.169877	0.22635685389563592	Cis-associated
Pbre1_15G480000	300.781928	8.237362603441088	Cis-associated
Pbre1_15G480200	75.685704	6.260885745749163	Cis-associated
Pbre1_15G480400	19.034523	4.324416256079748	Cis-associated
Pbre1_15G481200	12.538358	3.7589808671158047	Cis-associated
Pbre1_15G481400	8.06462	3.180246541689622	Cis-associated
Pbre1_15G481800	7.491853	3.0860793973847653	Cis-associated
Pbre1_15G482000	2.703261	1.8887962319660017	Cis-associated
Pbre1_15G482200	0.0	0.0	Cis-associated
Pbre1_15G483000	29.710983	4.9406827858572395	Cis-associated
Pbre1_15G483400	0.885822	0.9151935085493971	Cis-associated
Pbre1_15G483600	1.267644	1.1811941677282345	Cis-associated
Pbre1_15G484200	2.177553	1.6679161888650045	Cis-associated
Pbre1_15G484400	4.293732	2.4042851589326975	Cis-associated
Pbre1_15G484600	7.2362	3.04197886342146	Cis-associated
Pbre1_15G484800	0.0	0.0	Cis-associated
Pbre1_15G485200	0.0	0.0	Cis-associated
Pbre1_15G485400	6.82963	2.968944132576649	Cis-associated
Pbre1_15G485600	58.695234	5.899543847834076	Cis-associated
Pbre1_15G485800	10.064597	3.4678790004601345	Cis-associated
Pbre1_15G486000	16.536721	4.132307114091168	Cis-associated
Pbre1_15G486200	0.408032	0.4936801221262755	Cis-associated
Pbre1_15G486400	1.823389	1.4974279136647348	Cis-associated
Pbre1_15G486800	2.21266	1.6837683065892886	Cis-associated
Pbre1_15G487200	0.174034	0.2314741894710625	Cis-associated
Pbre1_15G487400	11.910589	3.690482914896945	Cis-associated
Pbre1_15G487600	0.457854	0.5438462450264451	Cis-associated
Pbre1_15G487800	32.206588	5.053397587424921	Cis-associated
Pbre1_15G488000	3.182716	2.064440044527212	Cis-associated
Pbre1_15G488200	4.951435	2.573237570567458	Cis-associated
Pbre1_15G488400	14.770608	3.979166375921062	Cis-associated
Pbre1_15G488600	4.993598	2.583422323281663	Cis-associated
Pbre1_15G488800	4.507553	2.4614114732614754	Cis-associated
Pbre1_15G489000	0.142995	0.19281909253665888	Cis-associated
Pbre1_15G489200	25.977747	4.753697964016805	Cis-associated
Pbre1_15G489400	0.0	0.0	Cis-associated
Pbre1_15G489600	6.885199	2.979147164995539	Cis-associated
Pbre1_15G489800	0.108916	0.14915008599265095	Cis-associated
Pbre1_15G490000	0.0	0.0	Cis-associated
Pbre1_15G491400	7.297673	3.052706803681727	Cis-associated
Pbre1_15G491600	0.0	0.0	Cis-associated
Pbre1_15G492000	41.432946	5.407112939248937	Cis-associated
Pbre1_15G492200	0.0	0.0	Cis-associated
Pbre1_15G492400	5.886301	2.7837292424408835	Cis-associated
Pbre1_15G492600	0.71551	0.7786375356352122	Cis-associated
Pbre1_15G492800	0.333135	0.41482288242898757	Cis-associated
Pbre1_15G493000	21.493132	4.491412654458778	Cis-associated
Pbre1_15G493200	0.347013	0.4297637742931849	Cis-associated
Pbre1_15G493400	4.511278	2.4623869014592636	Cis-associated
Pbre1_15G493600	4.978641	2.5798175838585906	Cis-associated
Pbre1_15G493800	2.629815	1.8598960205670507	Cis-associated
Pbre1_15G494000	23.567962	4.618706280856039	Cis-associated
Pbre1_15G494200	33.933985	5.126559318548187	Cis-associated
Pbre1_15G494400	0.0	0.0	Cis-associated
Pbre1_15G494600	0.085021	0.11772296552935795	Cis-associated
Pbre1_15G494800	19.819158	4.379839817041097	Cis-associated
Pbre1_15G495000	12.310068	3.7344460367616734	Cis-associated
Pbre1_15G495200	2.804206	1.9275953711016391	Cis-associated
Pbre1_15G496000	1.260569	1.1766859541260686	Cis-associated
Pbre1_15G496200	7.326221	3.057661851941094	Cis-associated
Pbre1_15G496400	0.0	0.0	Cis-associated
Pbre1_15G496600	0.0	0.0	Cis-associated
Pbre1_15G496800	11.38214	3.630188771360213	Cis-associated
Pbre1_15G497000	1.096359	1.0678857985403376	Cis-associated
Pbre1_15G497200	0.0	0.0	Cis-associated
Pbre1_15G497400	3.098887	2.035232217641204	Cis-associated
Pbre1_15G497600	0.496106	0.5812123946485234	Cis-associated
Pbre1_15G498800	15.617415	4.054624069249818	Cis-associated
Pbre1_15G499000	0.0	0.0	Cis-associated
Pbre1_15G499200	0.253257	0.3256822922388152	Cis-associated
Pbre1_15G501200	21.664157	4.5023405956419245	Cis-associated
Pbre1_15G501400	2.220523	1.687294995245727	Cis-associated
Pbre1_15G501600	10.190035	3.484142643645589	Cis-associated
Pbre1_15G501800	32.714748	5.075307909207395	Cis-associated
Pbre1_15G502000	6.593184	2.9247049683529744	Cis-associated
Pbre1_15G502200	3.142553	2.0505201554667707	Cis-associated
Pbre1_15G502800	0.0	0.0	Cis-associated
Pbre1_15G503000	11.583197	3.6534266077305917	Cis-associated
Pbre1_15G503400	1.833012	1.5023367126598255	Cis-associated
Pbre1_15G503600	6.738787	2.9521074518701216	Cis-associated
Pbre1_15G503800	4.037057	2.332581056815445	Cis-associated
Pbre1_15G504000	3.103136	2.0367269736976317	Cis-associated
Pbre1_15G504200	8.49318	3.246891438325913	Cis-associated
Pbre1_15G505200	6.332501	2.874305362735718	Cis-associated
Pbre1_15G505400	0.0	0.0	Cis-associated
Pbre1_15G505600	0.0	0.0	Cis-associated
Pbre1_15G505800	11.612931	3.656831663797875	Cis-associated
Pbre1_15G506000	10.282958	3.4960734367807995	Cis-associated
Pbre1_15G506200	0.0	0.0	Cis-associated
Pbre1_15G506600	36.170926	5.216102723871734	Cis-associated
Pbre1_15G506800	0.0	0.0	Cis-associated
Pbre1_15G507000	40.309438	5.368399527869383	Cis-associated
Pbre1_15G507400	0.117573	0.1603690714965206	Cis-associated
Pbre1_15G507600	0.0	0.0	Cis-associated
Pbre1_15G508200	84.208562	6.41292649874598	Cis-associated
Pbre1_15G508400	0.124764	0.1696223243340481	Cis-associated
Pbre1_15G508600	115.400967	6.86295923324695	Cis-associated
Pbre1_15G508800	0.214824	0.28074731570803113	Cis-associated
Pbre1_15G509000	0.042404	0.05991452505963994	Cis-associated
Pbre1_15G509200	10.516054	3.525574553867443	Cis-associated
Pbre1_15G509400	9.720274	3.4222698750663905	Cis-associated
Pbre1_15G509600	0.0	0.0	Cis-associated
Pbre1_15G509800	54.501267	5.794448801012318	Cis-associated
Pbre1_15G510000	311.332824	8.286940384280806	Cis-associated
Pbre1_15G510200	33.113168	5.092256835346149	Cis-associated
