analysis_set	term	n	estimate	se	ci_low	ci_high	p_value	model_r2	p_adj_BH
all	same_TAD_int	582	-0.202306168048975	0.2277963193509802	-0.6487787497876809	0.2441664136897308	0.374486356240744	0.0321391881525674	0.5076589555400491
TD	same_TAD_int	304	-0.4577022584453302	0.3959064035380092	-1.2336645506286092	0.3182600337379488	0.2476455604036597	0.0153239110558026	0.4476954017477025
PD	same_TAD_int	195	-0.0164669725932124	0.2905457502424625	-0.5859261789296086	0.5529922337431836	0.9548032879725152	0.0129028030348928	0.9548032879725152
TRD	same_TAD_int	83	0.2479445590636897	0.2007803091100206	-0.14557761559677	0.6414667337241495	0.216865952406301	0.0440243672584436	0.4476954017477025
