trajectory	duplicate_member	n	spearman_rho
Conservation	Parent	417	0.20820207024427162
Conservation	Child	417	0.18156764926293475
Neofunctionalization(Child)	Parent	433	0.3990944661641511
Neofunctionalization(Child)	Child	433	-0.1799512855565747
Neofunctionalization(Parent)	Parent	61	-0.032469981140697456
Neofunctionalization(Parent)	Child	61	0.5397287079810593
Specialization	Parent	379	-0.202084521379095
Specialization	Child	379	-0.14210417200017597
