sample	position_kb	ATAC_signal
rep1	-100.0	0.8889532014906222
rep1	-94.87179487179488	0.9163448707273174
rep1	-89.74358974358974	0.9084796928810087
rep1	-84.61538461538461	0.9614327255204334
rep1	-79.48717948717949	0.9475097725520412
rep1	-74.35897435897436	0.9643919246980213
rep1	-69.23076923076923	0.9496987617579039
rep1	-64.1025641025641	0.9011312747365738
rep1	-58.97435897435897	0.9109141521459788
rep1	-53.84615384615384	0.9481366648676409
rep1	-48.717948717948715	0.9248865448470832
rep1	-43.589743589743584	0.89661416628116
rep1	-38.46153846153845	0.9597734248265233
rep1	-33.33333333333333	0.9654826543305057
rep1	-28.205128205128204	0.9251627381135917
rep1	-23.076923076923066	0.9152535708044209
rep1	-17.948717948717942	0.9394923045489624
rep1	-12.820512820512818	1.0183033950141356
rep1	-7.692307692307679	1.06661639141609
rep1	-2.564102564102555	1.081308632228221
rep1	2.564102564102569	1.073513653559498
rep1	7.692307692307708	1.034204637625288
rep1	12.820512820512832	0.9619073564636348
rep1	17.948717948717956	0.9113256861989177
rep1	23.076923076923094	0.8836907422256494
rep1	28.205128205128204	0.8940696394243131
rep1	33.33333333333334	0.8895484615779988
rep1	38.46153846153848	0.8793387265484449
rep1	43.58974358974359	0.8694888758673854
rep1	48.71794871794873	0.9015459997429959
rep1	53.84615384615387	0.8891101395528166
rep1	58.97435897435898	0.8947541778463094
rep1	64.10256410256412	0.8883849488563381
rep1	69.23076923076925	0.9137867059881774
rep1	74.35897435897436	0.8984310131071707
rep1	79.4871794871795	0.903818635569265
rep1	84.61538461538464	0.8932312402981241
rep1	89.74358974358975	0.9305531799023384
rep1	94.87179487179489	0.911898080699051
rep1	100.0	0.9446645304548974
rep2	-100.0	0.9132985515291697
rep2	-94.87179487179488	0.9411520424055518
rep2	-89.74358974358974	0.9327345116936505
rep2	-84.61538461538461	0.9726662089437177
rep2	-79.48717948717949	0.9640993428424587
rep2	-74.35897435897436	0.9818580287843747
rep2	-69.23076923076923	0.9643764924183984
rep2	-64.1025641025641	0.9233966314572082
rep2	-58.97435897435897	0.9326436391673105
rep2	-53.84615384615384	0.9559928028784356
rep2	-48.717948717948715	0.9361102816756615
rep2	-43.589743589743584	0.9138586892829581
rep2	-38.46153846153845	0.9597297059881758
rep2	-33.33333333333333	0.9701593564636353
rep2	-28.205128205128204	0.9412958252377255
rep2	-23.076923076923066	0.9417608421999462
rep2	-17.948717948717942	0.9585690041120486
rep2	-12.820512820512818	1.0355988411719346
rep2	-7.692307692307679	1.0850317311745064
rep2	-2.564102564102555	1.1180501806733476
rep2	2.564102564102569	1.1068117525057832
rep2	7.692307692307708	1.048411368542789
rep2	12.820512820512832	0.982626491133385
rep2	17.948717948717956	0.9369668501670511
rep2	23.076923076923094	0.9130354083783081
rep2	28.205128205128204	0.9176827514777698
rep2	33.33333333333334	0.911628214083784
rep2	38.46153846153848	0.9003896594705727
rep2	43.58974358974359	0.8932560881521457
rep2	48.71794871794873	0.924338741711643
rep2	53.84615384615387	0.9142663389874058
rep2	58.97435897435898	0.917370137496788
rep2	64.10256410256412	0.9092308941146221
rep2	69.23076923076925	0.932148711642252
rep2	74.35897435897436	0.9201748671292728
rep2	79.4871794871795	0.928291545618094
rep2	84.61538461538464	0.9160849267540467
rep2	89.74358974358975	0.9515942801336402
rep2	94.87179487179489	0.9317975787715226
rep2	100.0	0.9572369177589306
