CLOUD_class	n	median	mean
Conservation	768	0.9450208696716427	0.8658251068020925
Neofunctionalization(Parent)	297	0.966627087296193	0.8755037080276894
Neofunctionalization(Child)	506	0.989886938786403	0.9008745907877438
Subfunctionalization	919	0.986754353331548	0.8946986940321411
Specialization	238	0.9008997354907253	0.8336341491933916
