duplication_type	trajectory	Ka_Ks
TRD	Spe	0.331101
TRD	Spe	0.756893
TRD	Spe	0.61611
TRD	Spe	0.704537
TRD	Spe	0.234528
TRD	Spe	0.877703
TRD	Spe	0.162111
TRD	Spe	0.483186
TRD	Spe	0.536156
TRD	Spe	0.364612
TRD	Spe	0.390193
TRD	Spe	0.552718
TRD	Spe	0.325388
TRD	Spe	0.118231
TRD	Spe	1.56469
TRD	Spe	0.354172
TRD	Spe	0.457178
TRD	Spe	0.294005
TRD	Spe	0.149338
TRD	Spe	0.340767
TRD	Spe	0.408013
TRD	Spe	0.609154
TRD	Spe	0.201368
TRD	Spe	0.184613
TRD	Spe	0.185768
TRD	Spe	0.245719
TRD	Spe	0.546323
TRD	Spe	0.460249
TRD	Spe	0.449733
TRD	Spe	0.635172
TRD	Spe	0.345677
TRD	Spe	0.634102
TRD	Spe	0.330637
TRD	Spe	0.169711
TRD	Spe	0.443562
TRD	Spe	0.36202
TRD	Spe	0.296644
TRD	Spe	0.322561
TRD	Spe	0.138574
TRD	Spe	0.425817
TRD	Spe	0.370769
TRD	Spe	0.235989
TRD	Spe	0.56985
TRD	Spe	0.139376
TRD	Spe	0.203156
TRD	Spe	1.13794
TRD	Spe	0.314199
TRD	Spe	0.456385
TRD	Spe	0.459251
TRD	Spe	0.303024
TRD	Spe	0.460805
TRD	Spe	0.297966
TRD	Spe	0.538619
TRD	Spe	0.235235
TRD	Spe	0.233725
TRD	Spe	0.495779
TRD	Spe	0.209645
TRD	Spe	0.0952969
TRD	Spe	0.260392
TRD	Spe	0.587222
TRD	Spe	0.696962
TRD	Spe	0.214421
TRD	Spe	0.524923
TRD	Spe	0.552585
TRD	Spe	1.09013
TRD	Spe	0.229193
TRD	Spe	0.450148
TRD	Spe	0.575582
TRD	Spe	0.26834
TRD	Spe	0.671188
TRD	Spe	0.28921
TRD	Spe	0.288227
TRD	Spe	0.590626
TRD	Spe	0.110048
TRD	Spe	0.139584
TRD	Spe	0.556746
TRD	Spe	0.272651
TRD	Spe	0.39894
TRD	Spe	0.807676
TRD	Spe	0.787409
TRD	Spe	0.520797
TRD	Spe	0.669685
TRD	Spe	0.144928
TRD	Spe	0.558012
TRD	Spe	0.728021
TRD	Spe	0.344431
TRD	Spe	0.177025
TRD	Spe	0.370429
TRD	Spe	0.168829
TRD	Spe	0.124727
TRD	Spe	0.175826
TRD	Spe	0.406292
TRD	Spe	0.529755
TRD	Spe	0.222377
TRD	Spe	0.431173
TRD	Spe	0.17524
TRD	Spe	0.518965
TRD	Spe	0.281345
TRD	Spe	0.189172
TRD	Spe	0.342286
TRD	Spe	0.76146
TRD	Spe	0.167704
TRD	Spe	0.460859
TRD	Spe	0.407436
TRD	Spe	0.136417
TRD	Spe	0.173528
TRD	Spe	0.193617
TRD	Spe	0.471715
TRD	Spe	0.618068
TRD	Spe	0.852451
TRD	Spe	0.121704
TRD	Spe	0.20405
TRD	Spe	0.438618
TRD	Spe	0.311858
TRD	Spe	0.387181
TRD	Spe	0.308706
TRD	Spe	0.46075
TRD	Spe	0.431846
TRD	Spe	0.391226
TRD	Spe	0.449366
TRD	Spe	0.244227
TRD	Spe	0.540101
TRD	Spe	0.374954
TRD	Spe	1.43868
TRD	Spe	0.165421
TRD	Spe	0.306791
TRD	Spe	0.298948
TRD	Spe	0.468999
