duplication_type	n_intrachromosomal_pairs	observed_same_TAD_fraction	matched_random_mean	matched_random_ci_low	matched_random_ci_high	observed_expected_ratio	empirical_one_sided_p	permutations	empirical_p_adj_BH
TD	306	0.9019607843137255	0.8249342339006966	0.7814569536423841	0.8651315789473685	1.09337295901615	0.000999000999000999	1000	0.0014985014985014985
PD	204	0.8088235294117647	0.6486103061914421	0.5882352941176471	0.7058823529411765	1.2470099868765183	0.000999000999000999	1000	0.0014985014985014985
TRD	84	0.023809523809523808	0.010666666666666668	0.0	0.03571428571428571	2.2321428571428568	0.23376623376623376	1000	0.23376623376623376
